# Data Version	4.3
# Objects set	4.3
# Tree version	FMA3.0
# FMA ID	is_a/part_of	model component
FMA10014	is_a	FJ3175
FMA10037	is_a	FJ3154
FMA10059	is_a	FJ3155
FMA10081	is_a	FJ3156
FMA14760	is_a	FJ3532
FMA14767	is_a	FJ3078+FJ3081+FJ3095+FJ3117+FJ3432
FMA14768	is_a	FJ3499
FMA14769	is_a	FJ1874+FJ1916+FJ1924+FJ2386+FJ2394+FJ3075+FJ3076+FJ3077+FJ3091+FJ3092+FJ3093+FJ3106+FJ3107+FJ3114+FJ3115+FJ3116+FJ4537+FJ4548+FJ4556+FJ4557+FJ5796+FJ5826
FMA14773	is_a	FJ3420+FJ3544+FJ3640
FMA14776	is_a	FJ3594
FMA14781	is_a	FJ3596
FMA14782	is_a	FJ3409
FMA14784	is_a	FJ3557
FMA14787	is_a	FJ3430
FMA14790	is_a	FJ3444
FMA14792	is_a	FJ3433
FMA14793	is_a	FJ3419
FMA14796	is_a	FJ3501
FMA14805	is_a	FJ3446
FMA14810	is_a	FJ3542
FMA14811	is_a	FJ3590
FMA14812	is_a	FJ3421
FMA14816	is_a	FJ3406
FMA14817	is_a	FJ3553
FMA14818	is_a	FJ3410
FMA14819	is_a	FJ2034
FMA14821	is_a	FJ2025+FJ2034+FJ3406+FJ3410+FJ3553
FMA14824	is_a	FJ2025
FMA14825	is_a	FJ3399+FJ3428+FJ3656
FMA14826	is_a	FJ3494
FMA14828	is_a	FJ3399
FMA14829	is_a	FJ3428
FMA14830	is_a	FJ3638
FMA14832	is_a	FJ3588
FMA14837	is_a	FJ1874+FJ1916+FJ1924+FJ2386+FJ2394+FJ3075+FJ3076+FJ3077+FJ3091+FJ3092+FJ3093+FJ3106+FJ3107+FJ3114+FJ3115+FJ3116+FJ3594+FJ4537+FJ4548+FJ4556+FJ4557+FJ5796+FJ5826
FMA14963	is_a	FJ2574+FJ2575+FJ2576+FJ2577+FJ2578+FJ2579+FJ2580+FJ2581+FJ2582+FJ2583+FJ2584+FJ2585+FJ2586+FJ2587+FJ2588+FJ2589+FJ2590+FJ2591+FJ2592+FJ2593+FJ2594+FJ2595+FJ2596+FJ2597+FJ2598+FJ2599+FJ2600+FJ2601+FJ2602+FJ2603+FJ2604+FJ2605
FMA14964	is_a	FJ2574+FJ2575+FJ2585+FJ2596+FJ2600+FJ2601+FJ2602+FJ2603+FJ2604+FJ2605
FMA14965	is_a	FJ2576+FJ2577+FJ2578+FJ2579+FJ2580+FJ2581+FJ2582+FJ2583+FJ2584+FJ2586
FMA14966	is_a	FJ2587+FJ2588+FJ2589+FJ2590+FJ2591+FJ2592+FJ2593+FJ2594+FJ2595+FJ2597+FJ2598+FJ2599
FMA15041	is_a	FJ2568+FJ2569+FJ2570
FMA15042	is_a	FJ2569
FMA15043	is_a	FJ2570
FMA15044	is_a	FJ2568
FMA15370	is_a	FJ3631+FJ3635
FMA15387	is_a	FJ3400+FJ3429+FJ3443+FJ3495+FJ3502+FJ3639+FJ3657
FMA15390	is_a	FJ3502
FMA15391	is_a	FJ3443
FMA15392	is_a	FJ3400+FJ3429+FJ3495+FJ3639+FJ3657
FMA15393	is_a	FJ3657
FMA15394	is_a	FJ3400+FJ3429+FJ3495
FMA15395	is_a	FJ3639
FMA15396	is_a	FJ3415+FJ3438+FJ3440+FJ3500+FJ3543+FJ3545+FJ3591+FJ3595+FJ3597+FJ3646+FJ3655
FMA15397	is_a	FJ3597
FMA15398	is_a	FJ3545+FJ3646+FJ3655
FMA15399	is_a	FJ3500
FMA15400	is_a	FJ3595
FMA15405	is_a	FJ3438
FMA15406	is_a	FJ3543
FMA15407	is_a	FJ3591
FMA15408	is_a	FJ3415+FJ3440
FMA15420	is_a	FJ3073
FMA15421	is_a	FJ3074
FMA15423	is_a	FJ3112+FJ3113
FMA15424	is_a	FJ3111
FMA15425	is_a	FJ3124+FJ4563
FMA15428	is_a	FJ3127
FMA15429	is_a	FJ3128
FMA15431	is_a	FJ3126
FMA15432	is_a	FJ3125
FMA15571	is_a	FJ3146
